question,answer
how long is an ice skate?,26 centimeters
how long is a duck?,1 foot
"read the following excerpt from a student essay. how can the writer best improve his or her organization?
many students, parents, and teachers cringe at the idea of sending kids to school year-round, but it would improve academic performance. lengthy summer vacations were not established to accommodate farming schedules, as most people assume; they were started so that wealthy families could leave the city in the hot summer months and vacation in the country. studies have shown that as a result of ""summer slide,"" many students returning to school in the fall have forgotten what they learned the previous year. year-round school would provide consistency and help students learn more.",by removing text unrelated to the main idea
what information supports the conclusion that dirk acquired this trait?,Dirk's scar was caused by an accident. He cut his leg when he fell off his skateboard.
"what does this works cited entry indicate about the cited work?
silver, johanna. ""how to remove a lawn."" sunset n.d.: n. pag. web. 1 apr. 2015.",It has no available publication date.
"based on this information, what is cupcake's phenotype for the eye color trait?",brown eyes
"what is the source of the allusion in the sentence below?
looking at his life, we couldn't help but see sean as a job-like figure.",the Bible
"what does the verbal irony in this text suggest?
""sleeping through the rooster's crowing was no problem,"" jaylen joked with a yawn.",Jaylen slept poorly.
"would you find the word notion on a dictionary page with the following guide words?
napkin - news",no
"look at the word. does it have a closed syllable or an open syllable?
no",open
"complete the statement. assume that logan's mass did not change.
the gravitational potential energy stored between logan and earth () as he hiked toward the summit.",increased
"complete the sentence so that it uses personification.
i decided to take advantage of the opportunity that ().",was knocking at my door
"based on this information, what is malia's phenotype for the thomsen disease trait?",having Thomsen disease
"based on this information, what is jasmine's phenotype for the fur color trait?",white fur
"would you find the word tack on a dictionary page with the following guide words?
throat - toy",no
"based on this information, what is this tomato plant's phenotype for the fruit color trait?",red fruit
"what kind of sentence is this?
brenda put a bandage on my cut.",declarative
what information supports the conclusion that tammy inherited this trait?,Tammy's parents have dark skin. They passed down this trait to Tammy.
"what do these two changes have in common?
water evaporating from a lake
mixing sand and gravel",Both are only physical changes.
how long is the great wall of china?,"13,000 miles"
what is the mass of an eraser?,39 grams
what is the volume of a kitchen sink?,12 gallons
"what do these two changes have in common?
pouring milk on oatmeal
cracking open a peanut",Both are only physical changes.
how long is a school bus?,14 yards
what is the volume of a kiddie pool?,300 gallons
"would you find the word rubber on a dictionary page with the following guide words?
remain - ridge",no
